gene,invivo,invitro
PSMC6,,ENST00000556813
PSMD14,ENST00000409682,ENST00000409682
PSPC1,ENST00000619300,ENST00000619300
PTBP1,ENST00000586481,ENST00000586481
PTMA,ENST00000341369,ENST00000341369
PTOV1,ENST00000391842,
PYCR2,ENST00000612651,ENST00000612651
PYURF,ENST00000273968,ENST00000273968
QRICH1,ENST00000395443,
RAB2A,ENST00000262646,ENST00000262646
RAB7A,ENST00000464496,ENST00000464496
RABAC1,,ENST00000601028
RABGGTB,ENST00000459697,ENST00000459697
RACK1,ENST00000512805,ENST00000512805
RAD21,ENST00000517749,ENST00000517749
RAD23A,ENST00000316856,
RAD51C,ENST00000421782,ENST00000421782
RAN,ENST00000541630,ENST00000541630
RANBP1,ENST00000421656,
RARS2,ENST00000493269,ENST00000493269
RBBP4,ENST00000463378,ENST00000463378
RBBP7,ENST00000380087,ENST00000380087
RBM14,,ENST00000409738
RBM15B,ENST00000563281,ENST00000563281
RBM17,ENST00000379888,
RBM8A,ENST00000632555,ENST00000632555
RBMX2,ENST00000305536,ENST00000305536
RBMXL1,ENST00000321792,
RBX1,ENST00000216225,ENST00000216225
RCC1,ENST00000427469,ENST00000427469
RCN1,ENST00000530348,ENST00000530348
RCN2,ENST00000394885,ENST00000394885
RDH14,ENST00000468071,ENST00000468071
RER1,ENST00000378518,
RHOA,ENST00000418115,ENST00000418115
RMRP,ENST00000602361,ENST00000602361
RNF138,ENST00000580499,ENST00000580499
RNF2,ENST00000367510,ENST00000367510
RNF5,ENST00000375094,ENST00000375094
RNF7,,ENST00000480908
RNU11,ENST00000387069,ENST00000387069
RNU4ATAC,,ENST00000580972
ROMO1,ENST00000374077,ENST00000374077
RPA3,ENST00000223129,ENST00000223129
RPAP3,,ENST00000005386
RPF1,ENST00000370654,ENST00000370654
RPL10,ENST00000424325,ENST00000424325
RPL10A,"ENST00000467020
ENST00000322203","ENST00000467020
ENST00000322203"
RPL11,ENST00000374550,ENST00000374550
RPL12,ENST00000361436,ENST00000361436
RPL13,ENST00000467736,ENST00000467736
RPL13A,ENST00000391857,ENST00000391857
RPL14,ENST00000338970,ENST00000338970
RPL15,ENST00000413699,ENST00000413699
RPL18,ENST00000549920,ENST00000549920
RPL18A,ENST00000222247,ENST00000222247
RPL19,ENST00000225430,ENST00000225430
RPL21,ENST00000311549,ENST00000311549
RPL22,ENST00000234875,
RPL22L1,ENST00000295830,ENST00000295830
RPL23,ENST00000245857,ENST00000245857
RPL23A,ENST00000422514,ENST00000422514
RPL24,ENST00000394077,ENST00000394077
RPL26,ENST00000293842,ENST00000293842
RPL26L1,ENST00000519522,ENST00000519522
RPL27,ENST00000589913,ENST00000589913
RPL27A,ENST00000532359,ENST00000532359
RPL28,ENST00000344063,ENST00000344063
RPL29,ENST00000294189,ENST00000294189
RPL3,ENST00000216146,ENST00000216146
RPL30,ENST00000521291,ENST00000521291
RPL31,ENST00000409650,ENST00000409650
RPL32,ENST00000429711,ENST00000429711
RPL34,ENST00000394668,ENST00000394668
RPL35,ENST00000348462,ENST00000348462
RPL35A,ENST00000448864,ENST00000448864
RPL36,ENST00000347512,ENST00000347512
RPL36A,ENST00000427805,ENST00000427805
RPL36A-HNRNPH2,ENST00000409170,ENST00000409170
RPL36AL,ENST00000298289,ENST00000298289
RPL37,ENST00000274242,ENST00000274242
RPL37A,ENST00000456586,ENST00000456586
RPL38,ENST00000311111,ENST00000311111
RPL39,ENST00000361575,ENST00000361575
RPL4,ENST00000568588,ENST00000568588
RPL41,ENST00000552314,ENST00000552314
RPL5,ENST00000370321,ENST00000370321
RPL6,ENST00000424576,ENST00000424576
RPL7,ENST00000352983,ENST00000352983
RPL7A,ENST00000323345,ENST00000323345
RPL8,ENST00000394920,ENST00000394920
RPL9,ENST00000295955,ENST00000295955
RPLP0,ENST00000228306,ENST00000228306
RPLP1,ENST00000260379,ENST00000260379
RPLP2,ENST00000321153,ENST00000321153
RPN1,ENST00000497289,ENST00000497289
RPN2,ENST00000437329,ENST00000437329
RPRD1A,ENST00000399022,ENST00000399022
RPS10,ENST00000326199,ENST00000326199
RPS10-NUDT3,ENST00000639725,ENST00000639725
RPS11,ENST00000270625,ENST00000270625
RPS12,ENST00000230050,ENST00000230050
RPS13,ENST00000525634,ENST00000525634
RPS14,ENST00000407193,ENST00000407193
RPS15,ENST00000233609,ENST00000233609
RPS15A,ENST00000322989,ENST00000322989
RPS16,ENST00000251453,ENST00000251453
RPS17,ENST00000330244,ENST00000330244
RPS18,ENST00000439602,ENST00000439602
RPS19,ENST00000221975,ENST00000221975
RPS2,ENST00000343262,ENST00000343262
RPS20,ENST00000009589,ENST00000009589
RPS21,ENST00000343986,ENST00000343986
RPS23,ENST00000296674,ENST00000296674
RPS24,ENST00000435275,ENST00000435275
RPS25,ENST00000527673,ENST00000527673
